Hour,Lane 1 Speed (mph),Lane 1 Flow (Veh/Hour),Lane 2 Speed (mph),Lane 2 Flow (Veh/Hour),Lane 3 Speed (mph),Lane 3 Flow (Veh/Hour),Speed (mph),Flow (Veh/Hour),# Lane Points,% Observed,Lane 1 Occ (%),Lane 2 Occ (%),Lane 3 Occ (%),Occupancy (%)
1/10/2022 7:00,71.7,661,69,745,62.4,404,68.5,1810,36,100,3.7,4.5,2.7,3.7
1/10/2022 8:00,70.9,749,68.4,848,60.9,486,67.6,2083,36,100,4.2,5.2,3.4,4.3
1/10/2022 9:00,70.8,742,66.6,820,60.7,502,66.7,2064,36,100,4.3,5.2,3.5,4.3
1/10/2022 10:00,70.4,828,66.1,894,60.6,561,66.3,2283,36,100,4.8,5.6,4,4.8
1/10/2022 11:00,70.6,916,66.1,961,60.8,547,66.6,2424,36,100,5.3,6.1,3.8,5.1
1/10/2022 12:00,70.8,956,66,964,60.7,593,66.6,2513,36,100,5.6,6.1,4.2,5.3
1/10/2022 13:00,70.5,987,66.2,1019,60.6,621,66.5,2627,36,100,5.8,6.4,4.3,5.5
1/10/2022 14:00,67.7,1258,65.9,1092,60.5,595,65.6,2945,36,100,7.4,6.9,4.2,6.2
1/10/2022 15:00,67.6,1345,66.6,1104,61.8,613,66.1,3062,36,100,7.9,6.9,4.1,6.3
1/10/2022 16:00,67.1,1313,66.1,1075,61.6,643,65.6,3031,36,100,7.7,6.8,4.4,6.3
1/10/2022 17:00,65.7,1318,65.2,1057,60.8,627,64.5,3002,36,100,8,6.8,4.3,6.4
1/10/2022 18:00,66.3,995,65.5,916,61.5,585,64.9,2496,36,100,5.9,5.8,3.9,5.2
1/10/2022 19:00,71.3,541,68.9,674,62.4,419,68,1634,36,100,3.1,4.2,2.8,3.4
1/10/2022 20:00,71.2,460,68.9,548,62.6,386,67.9,1394,36,100,2.7,3.4,2.5,2.9
